Name_en,Id,Const,Name_zh_hk
Sador,g,Cyg,天津一
Sadr,g,Cyg,天津一
Sadr el dedschadsche,g,Cyg,天津一
Saidak,80,UMa,開陽增一
Saiph,h,Ori,參宿增三
Saiph,i,Ori,伐三
Saiph,k,Ori,參宿六
Salm,t,Peg,離宮五
Sargas,q,Sco,尾宿五
Sarin,d,Her,"魏 , 天市左垣一"
Sartan,a,Cnc,柳宿增三
Scalovin,a,Del,瓠瓜一
Sceptrum,53,Eri,九斿增四
Scheat,d,Aqr,羽林軍二十六
Scheat,b,Peg,室宿二
Schedar,a,Cas,王良四
Scheddi,d,Cap,壘壁陣四
Schedir,a,Cas,王良四
Schemali,i,Cet,天倉一
Scutulum,i,Car,海石二
Seat Alpheras,b,Peg,室宿二
Secunda Giedi,a2,Cap,牛宿二
Segin,e,Cas,閣道二
Seginus,g,Boo,招搖
Sertan,a,Cnc,柳宿增三
Sham,a,Sge,左旗一
Sharatan,b,Ari,婁宿一
Shaula,l,Sco,尾宿八
Sheat,b,Peg,室宿二
Shedar,a,Cas,王良四
Sheddi,d,Cap,壘壁陣四
Shedir,a,Cas,王良四
Shedir,a,Cas,王良四
Sheliak,b,Lyr,漸台二
Shelyak,b,Lyr,漸台二
Shemali,i,Cet,天倉一
Sheratan,b,Ari,婁宿一
Shiliak,b,Lyr,漸台二
Singer,a,Aur,五車二
Sirah,a,And,壁宿二
Sirius,a,CMa,天狼
Sirrah,a,And,壁宿二
Situla,k,Aqr,虛梁三
Skat,d,Aqr,羽林軍二十六
Spica,a,Vir,角宿一
Spica Virginis,a,Vir,角宿一
Sterope,21,Tau,昴宿三
Sualocin,a,Del,瓠瓜一
Subra,o,Leo,軒轅十五
Suha,80,UMa,開陽增一
Suhail,a,Car,老人
Suhail,l,Vel,天記
Suhail al Mulif,g,Vel,天社一
Suhail al Wazn,l,Vel,天記
Suhail Hadar,z,Pup,弧矢增二十二
Suhel,a,Car,老人
Sulafat,g,Lyr,漸台三
Sulaphat,g,Lyr,漸台三
Superba,Y,CVn,
Svalocin,a,Del,瓠瓜一
Syrma,i,Vir,亢宿二
Althiba II,p1,UMa,內階增九
Tabit,p3,Ori,參旗六
Tabit,u,Ori,參宿增三十六
Tais,d,Dra,天廚一
Talita,i,UMa,"上台一 , 三台一"
Talitha,i,UMa,"上台一 , 三台一"
Tania Australis,m,UMa,"中台二 , 三台四"
Tania Borealis,l,UMa,"中台一 , 三台三"
Tarazad,g,Aql,河鼓三
Tarazed,g,Aql,河鼓三
Tarf,b,Cnc,柳宿增十
Tayeta,19,Tau,昴宿二
Taygeta,19,Tau,昴宿二
Taygete,19,Tau,昴宿二
Tegmen,z,Cnc,水位四
Tegmine,z,Cnc,水位四
Tejat,m,Gem,井宿一
Tejat Posterior,m,Gem,井宿一
Tejat Prior,h,Gem,鉞
Terebellum,59,Sgr,狗國四
Thabit,u,Ori,參宿增三十六
Theemim,n2,Eri,天園九
Theemin,n2,Eri,天園九
Theemini,d,Eri,天苑三
Thuban,a,Dra,"右樞 , 紫微右垣一"
Toliman,a,Cen,南門二
Tolimann,a,Cen,南門二
Torcularis Septentrionalis,o,Psc,右更四
Tramontana,a,UMi,"勾陳一 , 北極星"
Tsih,g,Cas,策
Turais,i,Car,海石二
Tureis,i,Car,海石二
Tyl,e,Dra,天廚三
Unuk,a,Ser,"蜀 , 天市右垣七"
Unuk al Hai,a,Ser,"蜀 , 天市右垣七"
Unuk El Haia,a,Ser,"蜀 , 天市右垣七"
Unuk Elhaia,a,Ser,"蜀 , 天市右垣七"
Unukalhai,a,Ser,"蜀 , 天市右垣七"
Urkab Posterior,b2,Sgr,天淵一
Urkab Prior,b1,Sgr,天淵二
Variabilis Coronae,R,CrB,
Vega,a,Lyr,織女一
Venabulum,m,Boo,七公六
Venator,b,Del,瓠瓜四
Vendemiatrix,e,Vir,"東次將 , 太微左垣四"
Vespertilio,a,Sco,心宿二
Vespertilo,a,Sco,心宿二
Vildiur,d,UMi,勾陳二
Vindemiator,e,Vir,"東次將 , 太微左垣四"
Vindemiatrix,e,Vir,"東次將 , 太微左垣四"
Wasat,d,Gem,天樽二
Wasn,b,Col,子二
Wazn,b,Col,子二
Wei,e,Sco,尾宿二
Wesen,d,CMa,弧矢一
Wezea,d,CMa,弧矢一
Wezen,d,CMa,弧矢一
Wezn,b,Col,子二
Yad,d,Oph,"梁 , 天市右垣九"
Yed,d,Oph,"梁 , 天市右垣九"
Yed Post,e,Oph,"楚 , 天市右垣十"
Yed Posterior,e,Oph,"楚 , 天市右垣十"
Yed Prior,d,Oph,"梁 , 天市右垣九"
Yildun,d,UMi,勾陳二
Yilduz,a,UMi,"勾陳一 , 北極星"
Yilduz,d,UMi,勾陳二
Zania,h,Vir,"左執法 , 太微左垣一"
Zaniah,h,Vir,"左執法 , 太微左垣一"
Zarijan,b,Vir,"右執法 , 太微右垣一"
Zaurac,g,Eri,天苑一
Zaurack,g,Eri,天苑一
Zaurak,g,Eri,天苑一
Zavijah,b,Vir,"右執法 , 太微右垣一"
Zavijava,b,Vir,"右執法 , 太微右垣一"
Zavyava,b,Vir,"右執法 , 太微右垣一"
Zawijah,b,Vir,"右執法 , 太微右垣一"
Zebeneschamali,b,Lib,氐宿四
Zenith Star,g,Dra,天棓四
Zeubenelhakrabi,g,Lib,氐宿三
Zibal,z,Eri,天苑五
Zibel,z,Eri,天苑五
Zosca,d,Leo,"西上相 , 太微右垣五"
Zosma,d,Leo,"西上相 , 太微右垣五"
Zozca,d,Leo,"西上相 , 太微右垣五"
Zozma,d,Leo,"西上相 , 太微右垣五"
Zuben el Chamali,b,Lib,氐宿四
Zuben el Genubi,a,Lib,氐宿一
Zuben el Genubi,g,Sco,
Zuben el Hakrabi,g,Lib,氐宿三
Zuben Elakrab,g,Lib,氐宿三
Zuben Elakribi,d,Lib,氐宿增一
Zuben Elgenubi,a,Lib,氐宿一
Zuben Elgenubi,g,Sco,
Zuben Elschemali,b,Lib,氐宿四
Zuben Hakrabi,g,Lib,氐宿三
Zuben Hakrabi,h,Lib,西咸四
Zuben Hakrabi,n,Lib,氐宿增十
Zuben Hakrabi,g,Sco,
Zuben Hakraki,g,Lib,氐宿三
Zubenalgubi,s,Lib,折威七
Zubenalgubi,g,Sco,
Zubenelakrab,g,Lib,氐宿三
Zubenelakribi,d,Lib,氐宿增一
Zubenelchemali,b,Lib,氐宿四
Zubenelg,b,Lib,氐宿四
Zubenelgenubi,a,Lib,氐宿一
Zubenesch,b,Lib,氐宿四
Zubeneschamali,b,Lib,氐宿四
Zubenhakrabi,g,Lib,氐宿三
Zubra,d,Leo,"西上相 , 太微右垣五"
Zuji al Nushshabah,g,Sgr,箕宿一
Proxima Centauri,a,Cen_C,比鄰星
Theemin,n,Eri,九州殊口四
Ta Tsun,y,UMa,太尊
